PRECIP (MM),EVAP (MM),TMAX (°C),TMIN (°C)
0.0,,,
0.0,,,
6.0,,,
30.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
7.0,,,
65.5,,,
32.5,,,
3.5,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
3.5,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
0.0,,,
1.0,,,
0.0,,,
0.0,,,
2.0,,,
0.0,,,
0.0,,,
0.0,,,
1.0,,,
0.0,,,
20.0,,,
0.0,,,
